번호,종목코드,종목명,시장구분,사업연도,결산월,업종,업종별 배당률,주식배당,현금배당_액면가,현금배당_주당배당금,현금배당_시가배당률,현금배당_배당성향,현금배당_기말주식수,현금배당_총배당금액
44,001040,CJ,KOSPI,"2,022",12,기타금융,-,-,"5,000","2,500",2.99,12.221,"29,176,998","83,940,300,100"
45,001040,CJ,KOSPI,"2,023",12,기타금융,-,-,"5,000","3,000",2.9,19.194,"29,176,998","100,705,769,100"
46,079160,CJ CGV,KOSPI,"2,023",12,일반서비스,0.87,-,500,-,-,-,"122,431,469",-
47,079160,CJ CGV,KOSPI,"2,022",12,일반서비스,0.78,-,500,-,-,-,"47,721,499",-
48,079160,CJ CGV,KOSPI,"2,024",12,오락·문화,-,-,500,-,-,-,"165,580,074",-
49,035760,CJ ENM,KOSDAQ,"2,024",12,오락·문화,0.7,-,"5,000",-,-,-,"21,929,154",-
50,035760,CJ ENM,KOSDAQ,"2,022",12,방송서비스,1.57,-,"5,000",-,-,-,"21,929,154",-
51,035760,CJ ENM,KOSDAQ,"2,023",12,방송서비스,0.57,-,"5,000",-,-,-,"21,929,154",-
52,311690,CJ 바이오사이언스,KOSDAQ,"2,022",12,일반서비스,1.01,-,500,-,-,-,"5,878,672",-
53,311690,CJ 바이오사이언스,KOSDAQ,"2,023",12,일반서비스,0.56,-,500,-,-,-,"9,112,502",-
54,311690,CJ 바이오사이언스,KOSDAQ,"2,024",12,일반서비스,0.48,-,500,-,-,-,"13,065,462",-
55,000120,CJ대한통운,KOSPI,"2,022",12,운송·창고,1.35,-,"5,000",500,0.5,5.067,"22,812,344","9,973,157,000"
56,000120,CJ대한통운,KOSPI,"2,024",12,운송·창고,2.53,-,"5,000",800,1,5.947,"22,812,344","15,957,051,200"
57,000120,CJ대한통운,KOSPI,"2,023",12,운송·창고,2.66,-,"5,000",500,0.4,4.106,"22,812,344","9,973,157,000"
58,011150,CJ씨푸드,KOSPI,"2,024",12,음식료·담배,2.63,-,500,-,-,-,"35,930,773",-
59,011150,CJ씨푸드,KOSPI,"2,022",12,음식료·담배,1.43,-,500,-,-,-,"35,930,773",-
60,011150,CJ씨푸드,KOSPI,"2,023",12,음식료·담배,1.7,-,500,-,-,-,"35,930,773",-
61,097950,CJ제일제당,KOSPI,"2,022",12,음식료·담배,1.43,-,"5,000","5,500",1.4,10.988,"15,054,186","88,193,843,700"
62,097950,CJ제일제당,KOSPI,"2,024",12,음식료·담배,2.63,-,"5,000","6,000",2.4,26.588,"15,054,186","96,205,416,200"
63,097950,CJ제일제당,KOSPI,"2,023",12,음식료·담배,1.7,-,"5,000","5,500",1.8,15.764,"15,054,186","88,193,843,700"
64,051500,CJ프레시웨이,KOSDAQ,"2,022",12,유통,0.81,-,"1,000",350,1.05,7.953,"11,871,586","4,155,055,100"
65,051500,CJ프레시웨이,KOSDAQ,"2,023",12,유통,0.63,-,"1,000",450,1.74,8.948,"11,871,586","5,342,213,700"
66,051500,CJ프레시웨이,KOSDAQ,"2,024",12,유통,0.93,-,"1,000",450,2.2,19.494,"11,871,586","5,342,213,700"
67,058820,CMG제약,KOSDAQ,"2,023",12,제약,0.41,-,500,-,-,-,"138,892,244",-
68,058820,CMG제약,KOSDAQ,"2,024",12,제약,0.43,-,500,-,-,-,"138,892,244",-
69,058820,CMG제약,KOSDAQ,"2,022",12,제약,0.52,-,500,-,-,-,"138,892,244",-
70,056730,CNT85,KOSDAQ,"2,022",12,건설,1.91,-,500,-,-,-,"35,648,956",-
