번호,종목코드,종목명,시장구분,사업연도,결산월,업종,업종별 배당률,주식배당,현금배당_액면가,현금배당_주당배당금,현금배당_시가배당률,현금배당_배당성향,현금배당_기말주식수,현금배당_총배당금액
"2481","475240","하나32호스팩","KOSDAQ","2024","12","금융","0.71",,"100",,,,"3200000",
"2482","475250","하나33호스팩","KOSDAQ","2024","12","금융","0.71",,"100",,,,"3700000",
"2483","484130","하나34호스팩","KOSDAQ","2024","12","금융","0.71",,"100",,,,"4520000",
"2484","0041L0","하나35호스팩","KOSDAQ","2024","12","-",,,,,,,,
"2485","086790","하나금융지주","KOSPI","2024","12","기타금융",,,"5000","3600","6","27.172","287240880","1015932015000"
"2486","299030","하나기술","KOSDAQ","2024","12","기계·장비","0.68",,"500",,,,"7994910",
"2487","067310","하나마이크론","KOSDAQ","2024","12","전기·전자","0.51",,"500","70","0.73","-41.58","66271949","4639036430"
"2488","166090","하나머티리얼즈","KOSDAQ","2024","12","전기·전자","0.51",,"500","250","1.1","15.335","19777674","4870055750"
"2489","293480","하나제약","KOSPI","2024","12","제약","0.21",,"500","510","4.6","41.519","17772946","8822737860"
"2490","039130","하나투어","KOSPI","2024","12","일반서비스","1.84",,"500","2300","4.16","35.958","16039185","35626843600"
"2491","136480","하림","KOSDAQ","2024","12","음식료·담배","1.95",,"500",,,,"106209702",
"2492","003380","하림지주","KOSDAQ","2024","12","금융","0.71",,"100","120","2.1","6.676","112005621","11671341720"
"2493","450330","하스","KOSDAQ","2024","12","제약","0.43",,"500","70","1","30.627","7836009","548520630"
"2494","101670","하이드로리튬","KOSDAQ","2024","12","금속","1.34",,"200",,,,"54169970",
"2495","365590","하이딥","KOSDAQ","2024","12","전기·전자","0.51",,"100",,,,"144447309",
"2496","149980","하이로닉","KOSDAQ","2024","12","의료·정밀기기","0.46",,"100",,,,"18594363",
"2497","013030","하이록코리아","KOSDAQ","2024","12","금속","1.34",,"500","1150","4.3","29.444","12295442","14139758300"
"2498","352820","하이브","KOSPI","2024","12","오락·문화",,,"500","200","0.08","-241.975","41652097","8304591400"
"2499","126700","하이비젼시스템","KOSDAQ","2024","12","의료·정밀기기","0.46",,"500","400","2.3","12.387","14942112","5007146000"
"2500","071090","하이스틸","KOSPI","2024","12","금속","2.46",,"500","10","0.4","-18.266","20191471","201835510"
"2501","450050","하이제8호스팩","KOSDAQ","2024","12","금융","0.71",,"100",,,,"5014000",
"2502","160190","하이젠알앤엠","KOSDAQ","2024","12","전기·전자","0.51",,"500",,,,"30888000",
"2503","221840","하이즈항공","KOSDAQ","2024","12","운송장비·부품","1.48",,"500",,,,"18700561",
"2504","106190","하이텍팜","KOSDAQ","2024","12","제약","0.43",,"500","100","0.73","7.755","10633173","1063259800"
"2505","000080","하이트진로","KOSPI","2024","12","음식료·담배","2.63",,"5000","700","3.4","51.083","70133611","48904505650"
"2506","000140","하이트진로홀딩스","KOSPI","2024","12","기타금융",,,"5000","350","3.6","8.446","23206765","7666489800"
"2507","065650","하이퍼코퍼레이션","KOSDAQ","2024","12","유통","0.93",,"500",,,,"106681731",
"2508","066130","하츠","KOSDAQ","2024","12","전기·전자","0.51",,"500","140","2.5","18.935","12800000","1681659140"
"2509","004590","한국가구","KOSDAQ","2024","12","유통","0.93",,"100","205","5.1","19.236","15000000","3075000000"
"2510","036460","한국가스공사","KOSPI","2024","12","전기·가스","0.35",,"5000","1455","4.1","11.052","92313000","126985756470"
"2511","039340","한국경제TV","KOSDAQ","2024","12","오락·문화","0.7",,"500","150","2.5","30.808","23000000","2603615850"
"2512","005430","한국공항","KOSPI","2024","12","운송·창고","2.53",,"5000","1000","1.72","7.531","3166355","3058211000"
"2513","071050","한국금융지주","KOSPI","2024","12","기타금융",,,"5000","3980","5","22.256","55725992","232767099351"
"2514","034950","한국기업평가","KOSDAQ","2024","12","일반서비스","0.48",,"5000","3954","4.5","61.681","4540514","17638283934"
"2515","010040","한국내화","KOSPI","2024","12","비금속","4.47",,"500","100","4.58","64.373","41067062","3543710200"
"2516","025540","한국단자공업","KOSPI","2024","12","전기·전자","1.59",,"500","2200","3.36","15.922","10415000","22693000000"
"2517","222980","한국맥널티","KOSDAQ","2024","12","음식료·담배","1.95",,"500",,,,"11031483",
"2518","010100","한국무브넥스","KOSPI","2024","12","운송장비·부품","2.7",,"1000","100","2","6.419","30450420","3045042000"
"2519","331660","한국미라클피플사","KONEX","2024","12","-",,,"500",,,,"1100000",
"2520","256840","한국비엔씨","KOSDAQ","2024","12","제약","0.43",,"100",,,,"67912443",
"2521","219750","한국비티비","KOSDAQ","2024","12","의료·정밀기기","0.46",,"100",,,,"65426885",
"2522","004090","한국석유공업","KOSPI","2024","12","비금속","4.47",,"500","120","0.9","11.768","12694120","1517069520"
"2523","025550","한국선재","KOSDAQ","2024","12","금속","1.34",,"500",,,,"23300000",
"2524","002200","한국수출포장공업","KOSPI","2024","12","종이·목재","2.88",,"500","80",,"86.716","40000000","2944000000"
"2525","002960","한국쉘석유","KOSPI","2024","12","화학","1.64",,"5000","27000","7.9","95.758","1300000","35100000000"
"2526","017890","한국알콜","KOSDAQ","2024","12","화학","0.6",,"500","110","1.3","7.454","21605760","2263865230"
"2527","000240","한국앤컴퍼니","KOSPI","2024","12","기타금융",,,"500","790","4.9","21.336","94935240","74827333760"
"2528","080720","한국유니온제약","KOSDAQ","2024","12","제약","0.43",,"500",,,,"7912828",
"2529","123890","한국자산신탁","KOSPI","2024","12","기타금융",,,"500","100","3.6","32.697","123977752","12236705500"
"2530","015760","한국전력공사","KOSPI","2024","12","전기·가스","0.35",,"5000","213","1","3.775","641964077","136738348401"
"2531","041460","한국전자인증","KOSDAQ","2024","12","IT 서비스","0.72",,"500","70","2.3","33.534","19000000","1324916250"
"2532","006200","한국전자홀딩스","KOSPI","2024","12","기타금융",,,"500","20","2.9","-26.02","46803136","877117740"
"2533","101680","한국정밀기계","KOSDAQ","2024","12","기계·장비","0.68",,"500",,,,"8404000",
"2534","039740","한국정보공학","KOSDAQ","2024","12","유통","0.93",,"500",,,,"8018397",
"2535","053300","한국정보인증","KOSDAQ","2024","12","IT 서비스","0.72",,"500","150","3.5","48.995","42441361","6091089000"
"2536","025770","한국정보통신","KOSDAQ","2024","12","통신","1.69",,"500",,,,"37444271",
"2537","458610","한국제12호스팩","KOSDAQ","2024","12","금융","0.71",,"100",,,,"4230000",
"2538","464440","한국제13호스팩","KOSDAQ","2024","12","금융","0.71",,"100",,,,"4320000",
"2539","479880","한국제15호스팩","KOSDAQ","2024","12","금융","0.71",,"100",,,,"6870000",
"2540","027970","한국제지","KOSPI","2024","12","종이·목재","2.88",,"1000",,,,"190178237",
"2541","023350","한국종합기술","KOSPI","2024","12","일반서비스","1.84",,"500","100","1.7","16.708","10950000","1040391500"
"2542","025890","한국주강","KOSPI","2024","12","기계·장비","1.55",,"500",,,,"11309259",
"2543","000970","한국주철관공업","KOSPI","2024","12","금속","2.46",,"500","400","6.1","59.975","22800500","8604552000"
"2544","104700","한국철강","KOSPI","2024","12","금속","2.46",,"1000","800","8.3","112.949","42450000","26487786400"
"2545","062970","한국첨단소재","KOSDAQ","2024","12","전기·전자","0.51",,"500",,,,"9868409",
"2546","017960","한국카본","KOSPI","2024","12","금속","2.46",,"500","130","1.2","31.486","51908452","6398306980"
"2547","023760","한국캐피탈","KOSDAQ","2024","12","금융","0.71",,"500","30","5.3","11.564","315609576","9382217250"
"2548","054040","한국컴퓨터","KOSDAQ","2024","12","전기·전자","0.51",,"500","280","5.3","27.351","16071290","3717870520"
"2549","161890","한국콜마","KOSPI","2024","12","화학","1.64",,"500","720","1.3","13.561","23605077","16995655440"
"2550","021650","한국큐빅","KOSDAQ","2024","12","화학","0.6",,"500","85","3.6","14.238","16350563","1381257565"
"2551","161390","한국타이어앤테크놀로지","KOSPI","2024","12","화학","1.64",,"500","2000","5.2","21.57","123875069","243977506000"
"2552","034830","한국토지신탁","KOSPI","2024","12","기타금융",,,"1000","70","6.8","-79.965","252489230","15081305610"
"2553","007280","한국특강","KOSPI","2024","12","금속","2.46",,"500",,,,"60813311",
"2554","032300","한국파마","KOSDAQ","2024","12","제약","0.43",,"500","50","0.3","14.381","10906701","545335050"
"2555","037230","한국팩키지","KOSDAQ","2024","12","종이·목재","0.97",,"500","40","2.3","95.898","29800327","1192013080"
"2556","448900","한국피아이엠","KOSDAQ","2024","12","-",,,"500",,,,"5081470",
"2557","047810","한국항공우주","KOSPI","2024","12","운송장비·부품","2.7",,"5000","500","0.8","28.519","97475107","48737553500"
"2558","123690","한국화장품","KOSPI","2024","12","유통","2.73",,"500",,,,"16068000",
"2559","003350","한국화장품제조","KOSPI","2024","12","화학","1.64",,"500","200","0.4","3.134","4532000","725001400"
"2560","030520","한글과컴퓨터","KOSDAQ","2024","12","IT 서비스","0.72",,"500","410","1.9","70.509","24179744","9868394550"
"2561","052600","한네트","KOSDAQ","2024","12","통신","1.69",,"500","180","3.9","60.72","11563700","2081466000"
