epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,90.9035,1.11127,0.72438,1.15197,0.72671,0.75,0.71906,0.29488,2.34762,1.62689,2.19243,0.000848969,0.000848969,0.000848969
43,92.4802,1.11459,0.70192,1.14552,0.62342,0.5,0.639,0.31153,2.09198,1.5363,2.02819,0.000834822,0.000834822,0.000834822
44,94.2273,1.14307,0.71469,1.17924,0.95657,0.5,0.59388,0.34891,1.84006,1.44212,1.77834,0.000820675,0.000820675,0.000820675
45,96.1376,1.09622,0.68199,1.0898,0.95657,0.5,0.59388,0.34891,1.84006,1.44212,1.77834,0.000806528,0.000806528,0.000806528
46,97.7702,1.13169,0.74397,1.15216,0.90762,0.5,0.5963,0.32817,2.01668,1.73402,1.93604,0.00079238,0.00079238,0.00079238
47,99.3757,1.17209,0.70744,1.17678,0.50673,0.57318,0.60554,0.33345,1.95465,1.43754,1.8457,0.000778233,0.000778233,0.000778233
48,101.055,1.06008,0.64391,1.10244,0.6107,0.55556,0.6398,0.3432,1.92879,1.42933,1.92232,0.000764086,0.000764086,0.000764086
49,102.86,1.0529,0.63511,1.06281,0.6107,0.55556,0.6398,0.3432,1.92879,1.42933,1.92232,0.000749939,0.000749939,0.000749939
50,104.511,1.05839,0.66711,1.12647,0.61352,0.58267,0.54029,0.26271,2.13161,1.72686,1.94819,0.000735792,0.000735792,0.000735792
51,106.2,1.18215,0.72615,1.14694,0.59676,0.56072,0.57564,0.28161,2.13964,1.92676,2.04999,0.000721645,0.000721645,0.000721645
52,108.26,1.01706,0.62427,1.0739,0.59814,0.66667,0.5819,0.27384,1.98623,1.82043,1.9701,0.000707498,0.000707498,0.000707498
53,109.892,1.06498,0.6642,1.1248,0.59814,0.66667,0.5819,0.27384,1.98623,1.82043,1.9701,0.000693351,0.000693351,0.000693351
54,111.481,1.0243,0.63919,1.11962,0.60155,0.66667,0.65898,0.28732,2.05702,1.73248,1.98559,0.000679204,0.000679204,0.000679204
55,113.101,0.99054,0.63363,1.07715,0.63194,0.69288,0.65383,0.32722,2.0233,1.50523,1.92397,0.000665057,0.000665057,0.000665057
56,114.695,0.9368,0.63705,1.0763,0.55352,0.66667,0.58755,0.32543,1.98352,1.39228,1.84381,0.000650909,0.000650909,0.000650909
57,116.262,0.97434,0.607,1.0514,0.55352,0.66667,0.58755,0.32543,1.98352,1.39228,1.84381,0.000636762,0.000636762,0.000636762
58,117.854,0.90191,0.56145,1.06854,0.66793,0.80556,0.76509,0.40646,1.86998,1.20423,1.79956,0.000622615,0.000622615,0.000622615
59,119.782,0.90684,0.57937,1.06074,0.60831,0.72222,0.70832,0.39899,1.82481,1.08934,1.71561,0.000608468,0.000608468,0.000608468
60,121.65,0.95583,0.56962,1.06164,0.54457,0.77778,0.71751,0.378,1.9631,1.0683,1.85975,0.000594321,0.000594321,0.000594321
61,123.25,0.88773,0.56327,1.04034,0.54457,0.77778,0.71751,0.378,1.9631,1.0683,1.85975,0.000580174,0.000580174,0.000580174
62,124.854,0.91471,0.55735,1.05681,0.51418,0.79015,0.69214,0.3572,1.9063,1.12793,1.77115,0.000566027,0.000566027,0.000566027
63,126.497,0.87496,0.55166,1.03898,0.55889,0.89202,0.70527,0.37465,1.93837,1.04713,1.83184,0.00055188,0.00055188,0.00055188
64,128.1,0.87507,0.53474,1.03672,0.50927,0.75,0.69901,0.32988,1.96509,1.1059,1.85114,0.000537733,0.000537733,0.000537733
65,129.682,0.82079,0.51361,0.99791,0.50927,0.75,0.69901,0.32988,1.96509,1.1059,1.85114,0.000523586,0.000523586,0.000523586
66,131.375,0.89494,0.53908,1.04812,0.97986,0.54319,0.63109,0.33237,2.11755,1.30957,2.16991,0.000509438,0.000509438,0.000509438
67,133.475,0.92616,0.54228,1.02277,0.96163,0.5,0.64595,0.31693,2.10298,1.30745,2.16808,0.000495291,0.000495291,0.000495291
68,135.208,0.84446,0.52404,0.97075,0.54443,0.62796,0.6346,0.32393,2.05091,1.3575,2.15519,0.000481144,0.000481144,0.000481144
69,137.252,0.79614,0.50131,1.0071,0.54443,0.62796,0.6346,0.32393,2.05091,1.3575,2.15519,0.000466997,0.000466997,0.000466997
70,138.877,0.84399,0.52129,0.99983,0.51677,0.61119,0.63237,0.31639,2.05863,1.62714,1.94633,0.00045285,0.00045285,0.00045285
71,140.536,0.91923,0.55042,1.03658,0.95672,0.5,0.62485,0.31251,1.94576,1.54988,1.74781,0.000438703,0.000438703,0.000438703
72,142.196,0.87144,0.52489,1.00453,0.94922,0.5,0.60393,0.32478,1.75337,1.481,1.64959,0.000424556,0.000424556,0.000424556
73,143.856,0.84246,0.52347,1.01743,0.94922,0.5,0.60393,0.32478,1.75337,1.481,1.64959,0.000410409,0.000410409,0.000410409
74,145.956,0.83846,0.53922,1.0286,0.9499,0.5,0.61202,0.28886,1.83137,1.47525,1.69201,0.000396262,0.000396262,0.000396262
75,147.684,0.83761,0.5324,1.0175,0.64155,0.55556,0.67847,0.2766,1.92238,1.39902,1.83967,0.000382115,0.000382115,0.000382115
76,149.287,0.7891,0.49533,0.98265,0.64137,0.55556,0.69827,0.29695,2.01437,1.30439,1.93354,0.000367967,0.000367967,0.000367967
77,150.903,0.76662,0.46627,0.96984,0.64137,0.55556,0.69827,0.29695,2.01437,1.30439,1.93354,0.00035382,0.00035382,0.00035382
78,152.514,0.79919,0.49808,0.98095,0.507,0.83333,0.72131,0.31792,1.94862,1.16299,1.89286,0.000339673,0.000339673,0.000339673
79,154.149,0.78261,0.51118,1.00641,0.51306,0.75,0.71821,0.31925,2.01484,1.11715,1.9664,0.000325526,0.000325526,0.000325526
80,155.786,0.77613,0.49227,0.97463,0.59893,0.75,0.73055,0.32854,2.05166,1.09712,2.03408,0.000311379,0.000311379,0.000311379
81,157.701,0.71333,0.44487,0.94467,0.59893,0.75,0.73055,0.32854,2.05166,1.09712,2.03408,0.000297232,0.000297232,0.000297232
82,159.626,0.72633,0.44479,0.97206,0.57862,0.61111,0.70257,0.32507,2.02884,1.16851,2.00785,0.000283085,0.000283085,0.000283085
83,161.247,0.75645,0.45674,0.96205,0.57978,0.61111,0.69035,0.31482,1.94366,1.16326,1.87808,0.000268938,0.000268938,0.000268938
84,162.882,0.75061,0.45842,0.95894,0.57825,0.60034,0.68861,0.35939,1.84286,1.1867,1.77634,0.000254791,0.000254791,0.000254791
85,164.487,0.74641,0.48541,0.99716,0.57825,0.60034,0.68861,0.35939,1.84286,1.1867,1.77634,0.000240644,0.000240644,0.000240644
86,166.085,0.70959,0.45067,0.95188,0.5077,0.70561,0.71713,0.35649,1.85273,1.13439,1.76258,0.000226497,0.000226497,0.000226497
87,167.676,0.72892,0.45009,0.95407,0.64618,0.59622,0.72778,0.33043,1.97024,1.20949,1.85768,0.000212349,0.000212349,0.000212349
88,169.423,0.7079,0.46149,0.98517,0.9828,0.60937,0.74133,0.31543,2.06517,1.19922,1.94773,0.000198202,0.000198202,0.000198202
89,171.468,0.70744,0.4484,0.96841,0.9828,0.60937,0.74133,0.31543,2.06517,1.19922,1.94773,0.000184055,0.000184055,0.000184055
90,173.157,0.65944,0.42534,0.94905,0.63641,0.65004,0.71451,0.29793,2.01716,1.18239,1.90449,0.000169908,0.000169908,0.000169908
91,175.933,0.66417,0.43799,0.94604,0.64259,0.6557,0.70824,0.33435,1.95128,1.13211,1.83866,0.000155761,0.000155761,0.000155761
92,177.636,0.64934,0.42747,0.95941,0.6423,0.6636,0.70217,0.34377,1.91419,1.12568,1.83299,0.000141614,0.000141614,0.000141614
93,179.215,0.60265,0.41557,0.93693,0.6423,0.6636,0.70217,0.34377,1.91419,1.12568,1.83299,0.000127467,0.000127467,0.000127467
94,180.832,0.63564,0.40617,0.95102,0.63429,0.66667,0.74439,0.33276,1.95491,1.09452,1.86068,0.00011332,0.00011332,0.00011332
95,182.656,0.65312,0.43387,0.97363,0.64183,0.65526,0.73931,0.31349,2.05668,1.08615,1.93171,9.91726e-05,9.91726e-05,9.91726e-05
96,184.675,0.62341,0.41447,0.94619,0.64235,0.64617,0.73991,0.32078,2.12228,1.09465,1.98816,8.50255e-05,8.50255e-05,8.50255e-05
97,186.273,0.58321,0.39448,0.89845,0.64235,0.64617,0.73991,0.32078,2.12228,1.09465,1.98816,7.08784e-05,7.08784e-05,7.08784e-05
98,187.924,0.60852,0.41496,0.92189,0.64173,0.64322,0.73242,0.30975,2.12536,1.13138,2.00488,5.67313e-05,5.67313e-05,5.67313e-05
99,189.546,0.61198,0.41394,0.95805,0.64138,0.60947,0.73321,0.31537,2.11446,1.15053,1.99667,4.25842e-05,4.25842e-05,4.25842e-05
100,191.159,0.66391,0.41684,0.96489,0.64204,0.60136,0.7256,0.32035,2.07678,1.15287,1.9884,2.84371e-05,2.84371e-05,2.84371e-05
